Lease_ID,Unit_ID,Resident_ID,Lease_Start_Date,Lease_End_Date,Renewal_Offered,Renewal_Accepted,Lease_Status
445,377,1444,9/23/2024,9/23/2025,Y,Y,Renewed
446,378,1445,9/15/2024,9/15/2025,Y,Y,Renewed
447,379,1446,10/15/2024,10/15/2025,Y,Y,Renewed
448,380,1447,9/28/2024,9/28/2025,Y,Y,Renewed
449,381,1448,6/2/2024,6/2/2025,Y,Y,Renewed
450,382,1449,4/24/2024,4/24/2025,Y,Y,Renewed
451,383,1450,6/21/2024,6/21/2025,Y,N,Vacated
452,383,1451,7/3/2025,7/3/2026,N,N,Active
453,384,1452,5/2/2024,5/2/2025,Y,N,Vacated
454,384,1453,5/7/2025,5/7/2026,N,N,Active
455,385,1454,8/21/2024,8/21/2025,Y,Y,Renewed
456,386,1455,5/29/2024,5/29/2025,N,N,Vacated
457,386,1456,6/16/2025,6/16/2026,N,N,Active
458,387,1457,8/26/2024,8/26/2025,Y,Y,Renewed
459,388,1458,9/13/2024,9/13/2025,Y,N,Vacated
460,388,1459,9/23/2025,9/23/2026,N,N,Active
461,389,1460,10/12/2024,10/12/2025,Y,Y,Renewed
462,390,1461,10/10/2024,10/10/2025,N,N,Vacated
463,390,1462,10/29/2025,10/29/2026,N,N,Active
464,391,1463,3/29/2024,3/29/2025,Y,Y,Renewed
465,392,1464,7/8/2024,7/8/2025,Y,Y,Renewed
466,393,1465,1/20/2024,1/19/2025,Y,Y,Renewed
467,394,1466,10/8/2024,10/8/2025,Y,Y,Renewed
468,395,1467,7/5/2024,7/5/2025,Y,Y,Renewed
469,396,1468,1/4/2024,1/3/2025,N,N,Vacated
470,396,1469,1/15/2025,1/15/2026,N,N,Active
471,397,1470,8/12/2024,8/12/2025,Y,Y,Renewed
472,398,1471,1/11/2024,1/10/2025,Y,Y,Renewed
473,399,1472,3/7/2024,3/7/2025,Y,Y,Renewed
474,400,1473,3/27/2024,3/27/2025,Y,Y,Renewed
